starter_word,failed,tries_6,tries_5,tries_4,tries_3,tries_2,tries_1,total_games,success_rate,avg_tries
COURT,0,1,5,20,23,1,0,50,100.0,3.64
PRONE,0,0,4,26,18,2,0,50,100.0,3.64
PROSE,0,0,7,19,23,1,0,50,100.0,3.64
GOLEM,0,0,5,26,18,0,1,50,100.0,3.68
METAL,0,0,7,20,23,0,0,50,100.0,3.68
PANEL,0,0,3,30,15,2,0,50,100.0,3.68
PARTY,0,1,5,22,21,1,0,50,100.0,3.68
PLATE,0,0,5,25,19,1,0,50,100.0,3.68
POLAR,0,0,5,27,15,3,0,50,100.0,3.68
TORCH,0,0,6,24,18,2,0,50,100.0,3.68
TRACK,0,0,6,25,16,3,0,50,100.0,3.68
CORNY,0,1,5,23,20,1,0,50,100.0,3.7
CRAVE,0,0,4,27,19,0,0,50,100.0,3.7
PEDAL,0,0,3,30,16,1,0,50,100.0,3.7
PROVE,0,0,9,19,20,2,0,50,100.0,3.7
RESIN,0,0,8,20,21,1,0,50,100.0,3.7
SCRUM,0,1,8,18,21,2,0,50,100.0,3.7
SPACE,0,0,4,28,17,1,0,50,100.0,3.7
TRADE,0,0,7,23,18,2,0,50,100.0,3.7
TRICE,0,0,7,24,16,3,0,50,100.0,3.7
ARGUE,0,1,6,22,20,1,0,50,100.0,3.72
BRUTE,0,1,3,29,15,2,0,50,100.0,3.72
CRANK,0,0,7,24,17,2,0,50,100.0,3.72
CRONE,0,0,6,25,18,1,0,50,100.0,3.72
DREAM,0,0,6,27,14,3,0,50,100.0,3.72
ERUPT,0,1,7,21,19,2,0,50,100.0,3.72
IRATE,0,1,3,27,19,0,0,50,100.0,3.72
MADLY,0,1,6,24,16,3,0,50,100.0,3.72
MOIST,0,1,6,25,15,2,1,50,100.0,3.72
RECAP,0,1,5,26,15,3,0,50,100.0,3.72
ROUSE,0,0,7,24,17,2,0,50,100.0,3.72
SUITE,0,0,5,27,17,1,0,50,100.0,3.72
TEARY,0,1,4,27,16,2,0,50,100.0,3.72
TIMER,0,1,3,27,19,0,0,50,100.0,3.72
TRACE,0,2,7,18,21,2,0,50,100.0,3.72
TRASH,0,1,4,25,20,0,0,50,100.0,3.72
TRIAD,0,0,7,23,19,1,0,50,100.0,3.72
TROPE,0,1,4,27,17,0,1,50,100.0,3.72
COUNT,0,1,6,23,19,1,0,50,100.0,3.74
COVET,0,0,5,28,16,1,0,50,100.0,3.74
CRATE,0,2,6,21,19,2,0,50,100.0,3.74
DRONE,0,0,7,25,16,2,0,50,100.0,3.74
FRANK,0,0,4,30,15,1,0,50,100.0,3.74
IMPEL,0,0,5,28,16,1,0,50,100.0,3.74
