starter_word,failed,tries_6,tries_5,tries_4,tries_3,tries_2,tries_1,total_games,success_rate,avg_tries
TEARY,0,1,7,51,35,6,0,100,100.0,3.62
PRONE,0,0,7,53,36,4,0,100,100.0,3.63
PANEL,0,0,7,54,35,4,0,100,100.0,3.64
POINT,0,1,7,50,39,3,0,100,100.0,3.64
TRADE,0,0,10,48,38,4,0,100,100.0,3.64
TRIPE,0,1,10,44,42,3,0,100,100.0,3.64
TRACE,0,2,10,45,38,4,1,100,100.0,3.65
TRICE,0,0,12,46,37,5,0,100,100.0,3.65
DRONE,0,0,12,47,37,3,1,100,100.0,3.66
PAINT,0,1,7,54,33,5,0,100,100.0,3.66
CREPT,0,1,9,48,41,0,1,100,100.0,3.67
CRISP,0,0,9,50,40,1,0,100,100.0,3.67
RESIN,0,0,12,44,43,1,0,100,100.0,3.67
PARTY,0,1,7,54,35,3,0,100,100.0,3.68
PRIME,0,1,7,53,37,2,0,100,100.0,3.68
SNARL,0,3,8,47,38,4,0,100,100.0,3.68
SPACE,0,0,8,56,32,4,0,100,100.0,3.68
TREND,0,0,10,51,36,3,0,100,100.0,3.68
ARGUE,0,1,11,48,36,4,0,100,100.0,3.69
CRATE,0,2,9,49,36,4,0,100,100.0,3.69
CURSE,0,2,9,47,40,2,0,100,100.0,3.69
ERUPT,0,1,9,53,32,5,0,100,100.0,3.69
GRIPE,0,1,13,42,42,2,0,100,100.0,3.69
PEARL,0,2,8,49,39,2,0,100,100.0,3.69
PRICE,0,1,11,48,36,4,0,100,100.0,3.69
PRIDE,0,1,10,49,37,3,0,100,100.0,3.69
TRASH,0,1,8,50,41,0,0,100,100.0,3.69
TRULY,0,2,8,48,41,1,0,100,100.0,3.69
CREST,0,0,11,49,39,1,0,100,100.0,3.7
IRONY,0,2,7,53,35,3,0,100,100.0,3.7
PLANT,0,1,9,52,35,3,0,100,100.0,3.7
POLAR,0,0,9,56,31,4,0,100,100.0,3.7
PRINT,0,2,10,46,40,2,0,100,100.0,3.7
SNORT,0,1,8,54,34,3,0,100,100.0,3.7
SPATE,0,0,10,53,34,3,0,100,100.0,3.7
SPIEL,0,1,9,52,35,3,0,100,100.0,3.7
TROPE,0,1,8,54,35,1,1,100,100.0,3.7
ACUTE,0,1,6,58,33,2,0,100,100.0,3.71
CORNY,0,1,11,48,38,2,0,100,100.0,3.71
CRAVE,0,0,8,56,35,1,0,100,100.0,3.71
GROIN,0,3,6,54,33,4,0,100,100.0,3.71
PROSE,0,0,11,51,36,2,0,100,100.0,3.71
SAINT,0,1,10,51,35,3,0,100,100.0,3.71
SPITE,0,0,9,54,36,1,0,100,100.0,3.71
SPORT,0,0,13,49,34,4,0,100,100.0,3.71
SPURT,0,0,16,44,35,5,0,100,100.0,3.71
PROUD,0,1,9,54,33,3,0,100,100.0,3.72
PRUNE,0,1,6,62,27,3,1,100,100.0,3.72
ROUND,0,2,9,50,37,2,0,100,100.0,3.72
SUITE,0,0,13,48,37,2,0,100,100.0,3.72
TALON,0,1,11,50,35,3,0,100,100.0,3.72
TRACK,0,0,13,50,33,4,0,100,100.0,3.72
TRAIL,0,1,11,49,37,2,0,100,100.0,3.72
BARGE,0,2,8,53,35,2,0,100,100.0,3.73
BREAD,0,0,11,52,36,1,0,100,100.0,3.73
BRINE,0,0,12,49,39,0,0,100,100.0,3.73
BRUTE,0,1,13,49,32,5,0,100,100.0,3.73
CHART,0,1,13,47,36,3,0,100,100.0,3.73
CRONE,0,0,9,56,34,1,0,100,100.0,3.73
GIANT,0,2,14,44,35,5,0,100,100.0,3.73
PLAIT,0,2,11,47,38,2,0,100,100.0,3.73
PRICK,0,0,14,47,37,2,0,100,100.0,3.73
ROGUE,0,1,12,50,33,4,0,100,100.0,3.73
SCOPE,0,0,8,60,29,3,0,100,100.0,3.73
SINCE,0,1,11,50,36,2,0,100,100.0,3.73
SLOPE,0,0,10,56,31,3,0,100,100.0,3.73
SNARE,0,2,10,50,35,3,0,100,100.0,3.73
SPARE,0,1,10,53,33,3,0,100,100.0,3.73
SPOUT,0,1,9,54,34,2,0,100,100.0,3.73
AGILE,0,2,6,61,26,5,0,100,100.0,3.74
BRIDE,0,0,12,53,32,3,0,100,100.0,3.74
CADET,0,2,10,53,30,5,0,100,100.0,3.74
CAPER,0,0,9,59,29,3,0,100,100.0,3.74
COAST,0,1,10,52,36,1,0,100,100.0,3.74
CREPE,0,2,12,47,36,3,0,100,100.0,3.74
CRIMP,0,1,9,55,33,2,0,100,100.0,3.74
CRYPT,0,1,13,47,37,2,0,100,100.0,3.74
GRACE,0,2,10,49,38,1,0,100,100.0,3.74
IRATE,0,1,7,57,35,0,0,100,100.0,3.74
LUNAR,0,2,6,57,34,1,0,100,100.0,3.74
MEANT,0,1,12,50,34,3,0,100,100.0,3.74
PINEY,0,0,10,56,32,2,0,100,100.0,3.74
PLATE,0,0,8,59,32,1,0,100,100.0,3.74
SPLAT,0,1,12,49,36,2,0,100,100.0,3.74
STAIN,0,1,11,51,35,2,0,100,100.0,3.74
STONE,0,0,10,54,36,0,0,100,100.0,3.74
TIMER,0,1,9,55,33,2,0,100,100.0,3.74
WORST,0,0,6,63,30,1,0,100,100.0,3.74
COURT,0,1,16,42,39,2,0,100,100.0,3.75
DEPOT,0,0,9,60,28,3,0,100,100.0,3.75
DIARY,0,1,13,49,34,3,0,100,100.0,3.75
DRIVE,0,0,13,51,34,2,0,100,100.0,3.75
GRIME,0,1,19,38,38,4,0,100,100.0,3.75
GRUEL,0,1,11,51,36,1,0,100,100.0,3.75
MOURN,0,1,12,48,39,0,0,100,100.0,3.75
PIETY,0,1,12,49,37,1,0,100,100.0,3.75
PINTO,0,2,9,53,34,2,0,100,100.0,3.75
POISE,0,0,10,56,33,1,0,100,100.0,3.75
PRONG,0,2,11,49,36,2,0,100,100.0,3.75
SCORE,0,1,13,49,34,3,0,100,100.0,3.75
SMITE,0,1,13,50,32,4,0,100,100.0,3.75
SOLAR,0,1,6,61,31,1,0,100,100.0,3.75
SPELT,0,0,10,57,31,2,0,100,100.0,3.75
SPIRE,0,1,12,50,35,2,0,100,100.0,3.75
STALE,0,0,7,61,32,0,0,100,100.0,3.75
TAPER,0,0,11,55,32,2,0,100,100.0,3.75
TEMPO,0,0,11,55,32,2,0,100,100.0,3.75
THORN,0,0,12,52,35,1,0,100,100.0,3.75
TILDE,0,0,10,58,29,3,0,100,100.0,3.75
TOPIC,0,1,8,59,29,3,0,100,100.0,3.75
BAGEL,0,3,9,53,31,4,0,100,100.0,3.76
BORNE,0,1,10,54,34,1,0,100,100.0,3.76
CARVE,0,0,11,56,31,2,0,100,100.0,3.76
COUNT,0,1,12,50,36,1,0,100,100.0,3.76
DECRY,0,2,13,48,33,4,0,100,100.0,3.76
DINER,0,1,12,53,30,4,0,100,100.0,3.76
DONUT,0,2,11,51,33,3,0,100,100.0,3.76
FIRST,0,1,13,48,37,1,0,100,100.0,3.76
FROST,0,0,12,52,36,0,0,100,100.0,3.76
GRADE,0,1,12,51,34,2,0,100,100.0,3.76
GRANT,0,2,10,54,30,4,0,100,100.0,3.76
GRIND,0,2,14,47,32,5,0,100,100.0,3.76
LAPSE,0,1,8,57,34,0,0,100,100.0,3.76
LINER,0,2,9,55,31,3,0,100,100.0,3.76
MERIT,0,1,10,56,30,3,0,100,100.0,3.76
NURSE,0,1,14,49,32,4,0,100,100.0,3.76
PEDAL,0,0,8,61,30,1,0,100,100.0,3.76
